タスク名,項目,必要か,担当,期日,ステータス,画像URL,備考,フェーズ
素材用意,新ロゴ（ヘッダー用）,要,FE様,2026/01/30,完了,,,ph1
,新ロゴ（ファビコン用）,要,FE様,2026/01/30,未,,,ph1
,新ブランドガイドライン（あれば）,不要？,FE様,,未,,,ph1
,1DAYスタンダード新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,1DAYプレミアム新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,1DAY各種商品ページ内カルーセル画像,要,FE様,2026/01/30,完了,,Excel下部素材詳細参照,ph1
,2WEEKスタンダード新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,2WEEKプレミアム新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,2WEEK各種商品ページ内カルーセル画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,1MONTHスタンダード新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,1MONTH各種商品ページ内カルーセル画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,ブルーライトカット新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,ブルーライトカット各種商品ページ内カルーセル画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,乱視用1DAY新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,乱視用2WEEK新パッケージ,要,FE様,2026/01/30,完了,,,ph1
,乱視用各商品ページ利用予定画像,要,FE様,,未,,Excel下部素材詳細参照,ph1
,TOPメインビジュアル（PC用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/slider/new_ec_top_standard_pc.jpg,カルーセルバナー？,ph1
,TOPメインビジュアル（SP用）,要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/slider/new_ec_top_standard_sp.jpg,カルーセルバナー？,ph1
,工場紹介箇所の段ボールのロゴ画像,不要,FE様,,未,https://shopping.refrear.jp/shopping-refrair/wp-content/themes/kaihatu/images/bluelight-1day/sec_5_img_11.jpg,,ph1
,フッター各画像,要,WCA様,,未,,,ph1
,1dayスタンダード　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,2weekスタンダード　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,1MONTHスタンダード　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,1dayシリコーン　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,2weekシリコーン　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,ブルーライトカット　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
,1day乱視用　商品詳細LPデザインデータ（PC・SP）,要,FE様,,未,,,ph1
