カテゴリ,項目,現状,保守的（1.1倍）,標準（1.3倍）,攻め（1.6倍）
基本指標,月間広告予算,¥1,200,000,¥1,200,000,¥1,200,000,¥1,200,000
基本指標,月間クリック数,12,000,12,000,12,000,12,000
基本指標,CVR,1.58%,1.74%,2.05%,2.53%
基本指標,月間獲得件数,190,209,247,304
基本指標,CPA,¥4,000,¥3,636,¥3,077,¥2,500
改善効果,月間獲得増加数,-,+19件,+57件,+114件
改善効果,CPA削減率,-,-9%,-23%,-37%
改善効果,年間獲得増加数,-,+228件,+684件,+1,368件
,,,,
施策別CVR改善インパクト,施策,改善幅（低）,改善幅（高）,根拠
施策別CVR改善インパクト,LP構成リニューアル（訴求軸再設計）,+10%,+20%,KW意図別LP分岐による直帰率低下・共感向上
施策別CVR改善インパクト,クリエイティブ刷新（5年ぶり）,+10%,+20%,広告疲弊の解消 / CTR改善→質の高い流入
施策別CVR改善インパクト,計測整備（パラメータ・GTM）,+5%,+10%,正確なデータに基づくPDCA高速化
施策別CVR改善インパクト,ABテスト継続運用,+5%,+10%,FV・CTA・レビュー配置の最適化
施策別CVR改善インパクト,合計想定改善幅,+30%,+60%,
,,,,
前提条件,,,
前提条件,広告予算は現状維持（月120万円）で試算,,,
前提条件,クリック数は現状維持（月12,000件）で試算,,,
前提条件,CVR改善は施策の複合効果（単純加算ではない）,,,
前提条件,クリエイティブ刷新によるCTR改善は別途上振れ余地あり,,,
前提条件,計測整備後の正確なデータで数値は再精査予定,,,
